timestamp_et,market,equity,open_positions,new_trades,exits,summary
2026-08-31 19:03,closed,,,,,market closed — no action
2026-08-31 19:14,closed,,,,,market closed — no action
2026-09-01 07:45,closed,,,,,market closed — no action
2026-09-01 10:20,open,100000.0,5,5,0,BOUGHT 1x SPY call; 1x MSFT call; 2x NVDA call; 2x AMZN call; 1x TSLA put
2026-09-01 10:24,open,99709.81,5,0,0,"5 signal(s) fired but none opened (risk gate / no contract / over cap): SPY, MSFT, NVDA, AMZN, TSLA"
2026-09-01 12:55,open,99637.81,5,0,0,"6 signal(s) fired but none opened (risk gate / no contract / over cap): SPY, QQQ, MSFT, NVDA, AMZN, TSLA"
2026-09-01 13:00,open,99654.81,5,0,0,"6 signal(s) fired but none opened (risk gate / no contract / over cap): SPY, QQQ, MSFT, NVDA, AMZN, TSLA"
2026-09-01 13:18,open,99556.81,5,0,0,"5 signal(s) fired but none opened (risk gate / no contract / over cap): SPY, MSFT, NVDA, AMZN, TSLA"
2026-09-01 14:01,open,99527.81,5,0,0,"5 signal(s) fired but none opened (risk gate / no contract / over cap): SPY, MSFT, NVDA, AMZN, TSLA"
2026-09-01 15:02,open,99632.81,5,0,0,"5 signal(s) fired but none opened (risk gate / no contract / over cap): SPY, MSFT, NVDA, AMZN, TSLA"
2026-09-01 15:59,open,99574.81,5,0,0,"5 signal(s) fired but none opened (risk gate / no contract / over cap): SPY, MSFT, NVDA, AMZN, TSLA"
2026-09-01 18:33,closed,,,,,market closed — no action
2026-09-02 12:42,open,100762.69,5,1,1,BOUGHT 1x SPY call; closed 1 position(s)
