date,open,high,low,close,volume
2021-01-01,29255.71,29680.75,28707.56,29418.72,619.419752
2021-01-02,29417.27,33338.68,29050,32218.38,1945.276677
2021-01-03,32200.39,34812.93,32010.68,33111.99,1926.666883
2021-01-04,33086.17,33655.01,27900,32025.23,2374.336116
2021-01-05,32025.23,34500,29927.55,34036.08,1917.285207
2021-01-06,34045.29,37000,33380.56,36856.98,1898.77712
2021-01-07,36850.64,40410.02,35936.73,39479.78,2487.036031
2021-01-08,39476.14,41999,36600,40622.87,2549.702734
2021-01-09,40622.87,41422.99,38789.12,40256.02,1255.353046
2021-01-10,40242.93,41446.85,35068.09,38181.17,1912.137103
2021-01-11,38167.92,38280.86,30365.5,35494,4468.105653
2021-01-12,35495.77,36610.52,32500,34031.16,2174.171802
2021-01-13,34048.34,37818.4,32357.25,37400,2095.838379
2021-01-14,37400,40100,36752.26,39127.1,1411.186253
2021-01-15,39101.96,39690,34362.01,36763.82,1566.958569
2021-01-16,36742.23,37954.56,35370,36025.3,995.519589
2021-01-17,36010.14,36846.47,33850,35810,931.696355
2021-01-18,35810,37434.5,34752.13,36610.54,746.047189
2021-01-19,36632.39,37866.15,35923.82,35929.45,896.234403
2021-01-20,35929.45,36407.93,33433.2,35489.1,1154.095934
2021-01-21,35494.34,35615.01,30030.48,30840.03,2087.498995
2021-01-22,30840.03,33868.4,28951.58,32988.34,2080.729357
2021-01-23,32988.34,33490.65,31418.57,32123.61,566.65744
2021-01-24,32114.6,33087.98,30950.03,32279.09,588.250539
2021-01-25,32299.68,34888,31913,32283.38,882.624471
2021-01-26,32268.35,32968.54,30852,32517.86,730.255031
2021-01-27,32513.73,32600,29256.82,30418.15,1423.840562
2021-01-28,30428.14,33840.65,29900,33434.68,1195.203315
2021-01-29,33434.68,38673.14,31977.13,34272.02,3013.853317
2021-01-30,34272.05,34918.91,32852.46,34281.36,927.144932
2021-01-31,34306.84,34375.65,32200,33134.86,718.30392
2021-02-01,33134.03,34707.6,32303.44,33546.39,1021.757709
2021-02-02,33544.69,36036.56,33411.85,35500.17,984.833359
2021-02-03,35500.12,37707.41,35388.21,37678.21,1020.270104
2021-02-04,37695.84,38747.61,36182.22,36993.27,1736.358788
2021-02-05,36976.68,38363.23,36608.81,38327.41,854.686575
2021-02-06,38330.05,41019.93,38265.38,39268.8,1456.316277
2021-02-07,39272.64,39736.17,37383.51,38874.13,1039.063326
2021-02-08,38874.13,46804,38055.92,46465.61,2471.149167
2021-02-09,46506.58,48203.13,45040,46500,1700.343873
2021-02-10,46500,47371.09,43750,44908.73,1357.198795
2021-02-11,44908.72,48708,44034.06,48008.01,1546.879185
2021-02-12,48035.12,48969.45,46231.52,47459.21,1246.721697
2021-02-13,47428.03,48196.66,46285,47216.11,737.32665
2021-02-14,47232.84,49730,47086.16,48644.74,945.416159
2021-02-15,48660.44,49030,45691.42,47916.2,1148.415876
2021-02-16,47962.23,50623,47045,49163.4,1446.594987
2021-02-17,49163.4,52644.51,48909.17,52136.85,1534.982964
2021-02-18,52162.4,52544.93,50848.12,51577.42,878.985058
2021-02-19,51576.24,56406.19,50732,55940.77,1664.962953
2021-02-20,55974.02,57572,54000,55952.8,1393.416358
2021-02-21,55918.43,58355.03,55522.01,57475.12,735.403434
2021-02-22,57461.89,57558.51,47303.68,54121.6,2321.627769
2021-02-23,54126.6,54167.3,45000,48903,3322.143025
2021-02-24,48875,51402.65,47001.88,49714.5,1733.212845
2021-02-25,49711.77,52050,46715.23,47069,1446.589084
2021-02-26,47054.93,48446.11,44112.21,46303.07,1494.62525
2021-02-27,46342.25,48375.86,45052.66,46160.47,860.015369
2021-02-28,46154.79,46648.73,43020,45213.99,1362.865963
2021-03-01,45244.96,49838.08,45048.39,49654.77,1407.125073
2021-03-02,49660.52,50273.12,47067.99,48476.33,870.647096
2021-03-03,48468.49,52644.44,48157.45,50421.19,1281.919083
2021-03-04,50395.09,51795.82,47500,48377.78,1235.676017
2021-03-05,48380.55,49472.53,46256.38,48773.99,1246.044197
2021-03-06,48784.14,49199,47074.63,48872.23,586.566392
2021-03-07,48917.43,51469.91,48902.65,50974.98,802.433098
2021-03-08,50959.28,52410.35,49329.8,52410.35,845.568992
2021-03-09,52396.47,54920.83,51866.2,54920.8,1118.241912
2021-03-10,54900.04,57418.6,53038.45,55872.56,1287.183674
2021-03-11,55831.95,58172.9,54275.5,57777.03,947.855106
2021-03-12,57824.91,58071.58,55051,57222.91,908.147941
2021-03-13,57229.24,61790.24,56049.99,61179.21,1060.5329
2021-03-14,61181.07,61672.3,58964,59000,659.403884
2021-03-15,58967,60604.69,54550,55679.63,1425.134166
2021-03-16,55611.77,56914.97,53223,56911.22,1235.260836
2021-03-17,56921.81,58985.96,54111.95,58921.41,1003.503211
2021-03-18,58923.03,60099,56970.3,57634.37,864.635508
2021-03-19,57639.48,59455.07,56240.5,58055.84,658.551777
2021-03-20,58015.78,59944.61,57840.69,58100.73,503.420937
2021-03-21,58078.28,58608.88,55509,57355.94,610.112481
2021-03-22,57365.09,58427.14,53707.5,54071.04,1005.230335
2021-03-23,54088.94,55839.36,53000,54377.15,929.310793
2021-03-24,54365.04,57190.63,51645.78,52283.88,1246.769113
2021-03-25,52283.88,53231.67,50411,51285.49,1211.173187
2021-03-26,51294.02,55111.81,51250.18,55075.58,973.930857
2021-03-27,55050.22,56610,53962.32,55845.23,689.899837
2021-03-28,55845.23,56526.55,54698.57,55783.89,501.204011
2021-03-29,55786.67,58400,54900.7,57614.15,742.014715
2021-03-30,57610.34,59405.87,57035.01,58799.98,653.759897
2021-03-31,58766.87,59817.86,56800,58791.65,930.771838
2021-04-01,58785.66,59475.33,57908.54,58713.5,596.082924
2021-04-02,58714.99,60250,58440.32,58989.99,607.916002
2021-04-03,58982.26,59796.56,56921.44,57103.96,663.466733
2021-04-04,57064.46,58508,56382.48,58203.08,547.233766
2021-04-05,58215.08,59251.37,56819.12,59128.34,574.112095
2021-04-06,59120.79,59499,57355.82,58018.92,653.826992
2021-04-07,58018.2,58629.96,55437.11,55928.93,1527.335961
2021-04-08,55928.92,58129.53,55694.67,58079.35,638.399075
2021-04-09,58070.02,58888,57647.49,58111.31,581.598704
2021-04-10,58108.74,61250,57869.41,59760.11,1111.297907
2021-04-11,59758.45,60668.3,59160.77,59967.76,488.19805
2021-04-12,59979.59,61210.99,59362.91,59839.08,878.792908
2021-04-13,59836.43,63775.89,59769.63,63588.93,1461.735395
2021-04-14,63593.68,64967.23,61208,62971.33,1607.718744
2021-04-15,62971.27,63866.3,62013.24,63238.42,780.790902
2021-04-16,63236.41,63584.65,60062.94,61420,1344.490155
2021-04-17,61424.4,62561.4,59658.3,60064.21,884.757652
2021-04-18,60067.69,60433.33,51722.01,56273.44,3310.639845
2021-04-19,56264.69,57600,54262.74,55665.92,1987.821625
2021-04-20,55672.62,57117.1,53415.7,56480.59,2420.711033
2021-04-21,56480.59,56809.51,53631.99,53800.2,1559.347752
2021-04-22,53790.01,55459.57,50418.93,51695.03,2323.871849
2021-04-23,51695.02,52130.67,47475,51146.29,2497.886993
2021-04-24,51171.36,51215.5,48721.97,50083.28,1083.130304
2021-04-25,50090.88,50600,47011,49097.64,1484.452457
2021-04-26,49117.13,54413.68,48826.43,54064.63,1751.42434
2021-04-27,54057.24,55514.99,53301.48,55070,949.066869
2021-04-28,55070,56491,53874.16,54875.37,972.706959
2021-04-29,54885.72,55223,52352.95,53595.5,858.743314
2021-04-30,53584.45,58009.15,53066.93,57792.2,1146.900246
2021-05-01,57792.2,58526.98,57020.68,57859.07,736.471447
2021-05-02,57859.08,57967.96,56084.56,56612.76,646.747119
2021-05-03,56601.65,58978.28,56500,57220.34,1031.095743
2021-05-04,57220.6,57244.87,53122.78,53235.1,1646.841949
2021-05-05,53225.99,57997.16,52946.9,57506.49,1509.407785
2021-05-06,57506.49,58431.01,55263.11,56426.06,1246.986981
2021-05-07,56432.51,58719.85,55295.01,57366.21,1172.706482
2021-05-08,57367.15,59549.79,56976.28,58949.48,1366.061546
2021-05-09,58939.71,59290.89,56272.77,58296.3,1062.58413
2021-05-10,58306.14,59586.81,53617.27,55849.97,1738.634724
2021-05-11,55877.55,57177.26,54515.9,56758.02,984.893504
2021-05-12,56760.28,58043.47,48515.74,49553.43,1784.382809
2021-05-13,49500,51413.21,46302.22,49696.9,3657.390043
2021-05-14,49687.34,51566.38,48891.34,49898.98,1334.996267
2021-05-15,49896.48,50691.57,46575,46776.05,1517.304917
2021-05-16,46758.35,49788.77,43867.89,46433.85,2396.303601
2021-05-17,46450,46625.01,42136.12,43570.56,3102.798277
2021-05-18,43567.5,45836.18,42301.18,42873.29,2146.560501
2021-05-19,42873.29,43922.99,30125,36749.16,7375.601882
2021-05-20,36749.16,42529.81,35000,40648.2,4408.894865
2021-05-21,40602.22,42277.05,33511.02,37346.33,4819.235903
2021-05-22,37328.23,38871,35262.75,37492.05,2973.540552
2021-05-23,37488.11,38299.26,31120,34716.86,4831.94665
2021-05-24,34716.87,39987.11,34329.49,38831.56,3541.72583
2021-05-25,38848.53,39844.1,36497.88,38367.28,2240.322483
2021-05-26,38364.95,40878.61,37847.07,39297.37,2704.999309
2021-05-27,39298.63,40425.27,37195.49,38556.92,2168.433935
2021-05-28,38556.92,38894.72,34711.85,35672.74,3714.341586
2021-05-29,35673.47,37307.84,33650,34615.22,3316.264163
2021-05-30,34615.22,36526.68,33428.38,35666.31,1811.277903
2021-05-31,35667.41,37500,34185.6,37267.65,2171.889123
2021-06-01,37269.99,37900,35670.68,36683.56,3152.986343
2021-06-02,36683.56,38222,35928.38,37573.07,1871.489366
2021-06-03,37570.63,39490.3,37174.8,39243.97,1658.576353
2021-06-04,39247.29,39286.33,35609.12,36855.83,2831.875098
2021-06-05,36861.28,37917.26,34835.06,35530.76,2683.596663
2021-06-06,35528.33,36476.61,35236.52,35813.7,1673.54084
2021-06-07,35813.92,36804.71,33314.85,33572.12,2194.988153
2021-06-08,33570.79,34066.57,31028.34,33412.26,2769.017119
2021-06-09,33410.91,37557.99,32405.51,37413.89,2962.101176
2021-06-10,37409.78,38441.05,35819.93,36695.34,2713.44713
2021-06-11,36694.07,37682.4,35967.62,37334.9,1950.149598
2021-06-12,37334.91,37456.04,34633.01,35536.08,1589.041946
2021-06-13,35554.19,39500,34747.86,39038.74,1750.940238
2021-06-14,39038.74,41050.92,38750.88,40525.56,2180.495771
2021-06-15,40539.03,41391.73,39546.46,40150.49,1805.647705
2021-06-16,40150.49,40562.89,38111,38345.24,1797.597864
2021-06-17,38354.54,39546.92,37385,38097.48,1767.926497
2021-06-18,38097.47,38205.32,35137.7,35834.38,2266.30538
2021-06-19,35830.43,36457.37,34842.44,35487.73,1849.877438
2021-06-20,35489,36121.12,33343.97,35593.6,2155.884782
2021-06-21,35593.52,35753.28,31256.14,31600,5049.939405
2021-06-22,31600,33322.75,28810,32520,4682.037389
2021-06-23,32524.98,34835.26,31707.88,33666.75,3135.227291
2021-06-24,33679.85,35269.88,32326.88,34650.2,1949.195885
2021-06-25,34652.29,35500,31281.58,31586.49,2762.610789
2021-06-26,31585.43,32711.97,30167,32271.67,2673.249717
2021-06-27,32271.2,34769.53,31991.72,34710.95,2192.530289
2021-06-28,34702.87,35300,33800.33,34488.82,1647.85158
2021-06-29,34495.13,36625,34210.19,35910.17,1849.928172
2021-06-30,35911.97,36113.14,34051.91,35049.6,1764.299561
