date,open,high,low,close,volume
2021-01-01,131.03,132.11,123.93,126.52,6091.54923
2021-01-02,126.65,142,123.42,136.96,24785.35187
2021-01-03,136.96,164.34,135.5,161.06,34847.72109
2021-01-04,161.67,174.75,137.77,155.55,24119.85306
2021-01-05,155.92,163.23,146,158.87,16087.85689
2021-01-06,158.82,169.97,155.33,169.24,19892.79936
2021-01-07,169.52,181.61,160.23,169.99,30045.42115
2021-01-08,169.99,182.48,150.5,172.58,29759.17011
2021-01-09,172.5,179.63,163.48,177.69,13810.55953
2021-01-10,178,186.37,160,170.42,22221.53953
2021-01-11,170.22,170.57,114.8,139.65,40900.39834
2021-01-12,139.65,146.75,127.84,133.39,23339.86853
2021-01-13,133.17,148.22,125.01,147.5,15111.12607
2021-01-14,147.69,156.83,143.38,152.45,15615.58193
2021-01-15,152.41,155.51,130,144.03,17514.35559
2021-01-16,143.62,152.5,139.41,143.66,15644.61553
2021-01-17,143.43,146.96,136.4,142.64,10373.11295
2021-01-18,143.24,154.75,138.49,151.96,12722.24025
2021-01-19,152.21,166.1,149.99,152,23155.43309
2021-01-20,152,156.18,140,149.68,22060.67574
2021-01-21,149.92,150.21,125.51,129.69,25649.46041
2021-01-22,129.79,141.82,122.5,138.5,21566.41052
2021-01-23,137.76,143.49,135,137.45,8426.37386
2021-01-24,137.8,142.69,133.78,140.95,11284.73258
2021-01-25,141.13,147.75,136.68,137.13,22089.77164
2021-01-26,137.13,139.69,128.43,134.98,12009.38042
2021-01-27,134.83,134.83,118.11,122.75,17913.88806
2021-01-28,122.71,136,121.1,133.56,17869.5832
2021-01-29,133.56,145.83,131.7,134.88,42061.08892
2021-01-30,134.97,136.23,127.76,133.43,19686.34572
2021-01-31,133.43,135.2,125.84,129.56,19169.32149
2021-02-01,129.49,136.63,126.04,132.14,14167.01142
2021-02-02,132.06,145.91,132.04,142.34,25091.6868
2021-02-03,142.34,156.87,142.34,156.44,28052.95617
2021-02-04,156.33,158.9,141.32,145.15,26393.142
2021-02-05,145.3,156.99,143,155.19,28714.05698
2021-02-06,155.03,164.68,149.95,155.77,32355.6248
2021-02-07,155.68,157.52,145.3,151.12,18295.42038
2021-02-08,150.91,169.47,148.01,167.43,31760.07127
2021-02-09,167.9,184.89,164.6,181.97,38844.31911
2021-02-10,182,195.2,171.45,181.89,42119.7344
2021-02-11,182.18,193.5,176,183.75,23295.13385
2021-02-12,183.63,200,177,197.04,33614.53872
2021-02-13,197.51,229.44,192.25,226.29,52362.64759
2021-02-14,226.2,230.87,207.05,213.83,31681.94381
2021-02-15,214,220,185.11,207.66,34354.13825
2021-02-16,208.22,221.99,200.48,210.23,24422.53071
2021-02-17,210.64,237.75,203.46,237.73,34095.08377
2021-02-18,237.75,239.19,221.06,226.23,23167.68529
2021-02-19,227.2,245.12,220.14,236.99,34417.50311
2021-02-20,236.4,247,214.65,227.6,36759.84303
2021-02-21,227,233.76,220.25,227.45,24482.32406
2021-02-22,227.27,227.6,178.5,207.78,54847.21539
2021-02-23,208.06,208.51,158.87,177.51,55579.2587
2021-02-24,177.57,189.53,169.03,181.71,31849.64032
2021-02-25,181.44,205.33,175.32,179.06,36543.15795
2021-02-26,179.35,182.68,162.75,170.1,30071.55334
2021-02-27,170.1,180.49,166.5,171.86,21490.31011
2021-02-28,171.67,173,152.89,165.25,22086.21005
2021-03-01,165.83,176.95,163.37,176.29,27915.89978
2021-03-02,176,185.3,170.73,179.2,27384.44904
2021-03-03,178.99,196.59,177.06,187.75,56863.66822
2021-03-04,187.94,194.59,176.5,180.6,37791.31599
2021-03-05,180.53,183.43,168.61,180.94,24602.25609
2021-03-06,180.29,184.65,174.73,182.92,18693.07357
2021-03-07,183.1,192.06,182.45,190.56,18480.60355
2021-03-08,190.91,195.34,179.77,191.86,27453.39466
2021-03-09,191.93,205,189.14,204.05,34241.91195
2021-03-10,204.05,208.46,191.5,200.19,32577.15166
2021-03-11,200.47,203.35,191.1,201.56,21542.68986
2021-03-12,201.66,224.85,198.46,220.53,57564.90058
2021-03-13,220.95,230,212.59,226,38937.41237
2021-03-14,226,227.92,214.15,214.15,27521.35567
2021-03-15,214.15,222.25,196.96,200.87,34729.78231
2021-03-16,200.94,205.07,191.2,201.44,29664.41495
2021-03-17,201.77,206.84,194.25,205.78,19991.08034
2021-03-18,206.33,208.07,198.89,199.5,23640.32377
2021-03-19,199.58,204.9,195.49,199.94,12502.18274
2021-03-20,200.11,206.22,198.88,200.05,10390.73289
2021-03-21,200.02,201.93,192.34,195.67,11777.55498
2021-03-22,195.36,198.9,185,185.42,13638.73463
2021-03-23,185.49,189.47,180.96,186.04,12425.13276
2021-03-24,185.68,197,172.15,176.33,20605.72993
2021-03-25,176,178.29,167.74,172.07,16065.32814
2021-03-26,171.41,184.68,171.38,183.36,14443.68195
2021-03-27,183.78,186.2,177.72,184.23,12865.36452
2021-03-28,183.95,187.36,180.09,184.31,7904.69327
2021-03-29,184.25,197.74,182.28,193.86,17849.85572
