date,equity,total_pct,realized,closed_trades,wins,losses,open_positions,cycles,gate_blocks
2026-09-12,99437.65,-0.56,-154.95,4,1,3,4,0,4
2026-09-13,98783.07,-1.22,-154.95,4,1,3,4,0,25
2026-09-14,99279.39,-0.72,-154.95,4,1,3,6,1,39
2026-09-15,96678.8,-3.32,-154.95,4,1,3,6,3,75
2026-09-16,96821.13,-3.18,-934.95,5,1,4,6,5,117
2026-09-17,98492.1,-1.51,-934.95,5,1,4,6,7,199
2026-09-18,102378.77,2.38,-364.95,6,2,4,6,13,279
2026-09-19,102391.35,2.39,-364.95,6,2,4,6,13,327
2026-09-20,102584.07,2.58,-364.95,6,2,4,6,13,358
2026-09-22,106761.36,6.76,-364.95,6,2,4,6,16,413
2026-09-23,105085.94,5.09,-364.95,6,2,4,6,18,442
